LocalTimestamp,TH,BI,EL,HR,PI,PR,T1,EA,PG
1691306213.874212,0.0,0.0,0.0,0.0,0.0,0.0,39.392,0.0,0.0
1691306213.877307,0.0,560.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0
1691306213.885561,36.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691306213.946436,0.0,0.0,-38118.0,0.0,0.0,0.0,0.0,4.936249,0.0
1691306213.959849,0.0,0.0,0.0,0.0,949532.0,572731.0,0.0,0.0,38216.0
1691306213.996993,0.0,0.0,0.0,0.0,189969.0,114569.0,39.382,0.0,7683.0
1691306214.008859,0.0,0.0,-19057.800781,0.0,0.0,0.0,0.0,2.462896,0.0
1691306214.010406,37.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691306214.034137,0.0,0.0,0.0,0.0,189990.0,114564.0,0.0,0.0,7697.0
1691306214.071281,0.0,0.0,-19056.199219,0.0,189995.0,114568.0,0.0,2.455946,7716.0
1691306214.107909,0.0,0.0,0.0,0.0,189967.0,114573.0,0.0,0.0,7692.0
1691306214.124934,0.0,0.0,0.0,0.0,0.0,0.0,39.378,0.0,0.0
1691306214.132156,0.0,0.0,-19057.400391,0.0,0.0,0.0,0.0,2.461157,0.0
1691306214.139379,37.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691306214.144537,0.0,0.0,0.0,0.0,189905.0,114557.0,0.0,0.0,7669.0
1691306214.182713,0.0,0.0,0.0,0.0,189853.0,114543.0,0.0,0.0,7635.0
1691306214.195611,0.0,0.0,-19057.800781,0.0,0.0,0.0,0.0,2.462896,0.0
1691306214.220889,0.0,0.0,0.0,0.0,189860.0,114533.0,0.0,0.0,7622.0
1691306214.251842,0.0,0.0,0.0,0.0,0.0,0.0,39.376,0.0,0.0
1691306214.259065,0.0,0.0,-19058.0,0.0,189858.0,114534.0,0.0,2.463764,7620.0
1691306214.266287,37.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691306214.29896,0.0,0.0,0.0,0.0,189884.0,114532.0,0.0,0.0,7634.0
1691306214.325099,0.0,0.0,-19059.400391,0.0,0.0,0.0,0.0,2.46988,0.0
1691306214.338856,0.0,0.0,0.0,0.0,189885.0,114541.0,0.0,0.0,7630.0
1691306214.378751,0.0,0.0,0.0,0.0,189889.0,114551.0,0.0,0.0,7632.0
1691306214.38391,0.0,0.0,0.0,0.0,0.0,0.0,39.447,0.0,0.0
1691306214.391648,0.0,0.0,-19059.0,0.0,0.0,0.0,0.0,2.468124,0.0
1691306214.398355,37.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691306214.418475,0.0,0.0,0.0,0.0,189883.0,114535.0,0.0,0.0,7627.0
1691306214.458198,0.0,0.0,-19059.199219,0.0,189900.0,114550.0,0.0,2.468996,7634.0
1691306214.49431,0.0,640.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0
1691306214.49775,0.0,0.0,0.0,0.0,189928.0,114560.0,0.0,0.0,7642.0
1691306214.518041,0.0,0.0,0.0,0.0,0.0,0.0,39.477,0.0,0.0
1691306214.523716,0.0,0.0,-19060.0,0.0,0.0,0.0,0.0,2.472506,0.0
1691306214.531454,36.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691306214.537301,0.0,0.0,0.0,0.0,189937.0,114560.0,0.0,0.0,7643.0
1691306214.576853,0.0,0.0,0.0,0.0,189957.0,114560.0,0.0,0.0,7672.0
1691306214.589234,0.0,0.0,-19059.599609,0.0,0.0,0.0,0.0,2.470752,0.0
1691306214.616404,0.0,0.0,0.0,0.0,189983.0,114571.0,0.0,0.0,7676.0
1691306214.650109,0.0,0.0,0.0,0.0,0.0,0.0,39.419,0.0,0.0
1691306214.655956,0.0,0.0,0.0,0.0,190004.0,114577.0,0.0,0.0,7687.0
1691306214.6563,0.0,0.0,-19060.0,0.0,0.0,0.0,0.0,2.472506,0.0
1691306214.66249,36.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691306214.695507,0.0,0.0,0.0,0.0,190014.0,114585.0,0.0,0.0,7702.0
1691306214.722333,0.0,0.0,-19060.800781,0.0,0.0,0.0,0.0,2.47602,0.0
1691306214.735403,0.0,0.0,0.0,0.0,190050.0,114582.0,0.0,0.0,7709.0
1691306214.775298,0.0,0.0,0.0,0.0,190021.0,114579.0,0.0,0.0,7708.0
1691306214.782176,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.0,0.0
1691306214.788367,0.0,0.0,-19061.800781,0.0,0.0,0.0,0.0,2.480429,0.0
1691306214.79559,36.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691306214.815193,0.0,0.0,0.0,0.0,189956.0,114568.0,0.0,0.0,7675.0
1691306214.855433,0.0,0.0,-19060.599609,0.0,189904.0,114547.0,0.0,2.475137,7648.0
1691306214.895672,0.0,0.0,0.0,0.0,189886.0,114554.0,0.0,0.0,7629.0
1691306214.915276,0.0,0.0,0.0,0.0,0.0,0.0,39.358,0.0,0.0
1691306214.921983,0.0,0.0,-19061.199219,0.0,0.0,0.0,0.0,2.477774,0.0
1691306214.928689,36.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691306214.942102,0.0,0.0,0.0,0.0,189884.0,114540.0,0.0,0.0,7626.0
1691306214.988532,0.0,0.0,-19060.599609,0.0,189901.0,114543.0,0.0,2.475137,7628.0
1691306215.028428,0.0,0.0,0.0,0.0,189924.0,114543.0,0.0,0.0,7633.0
1691306215.048375,0.0,0.0,0.0,0.0,0.0,0.0,39.403,0.0,0.0
1691306215.054566,0.0,0.0,-19060.599609,0.0,0.0,0.0,0.0,2.475137,0.0
1691306215.061788,36.918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691306215.068323,0.0,0.0,0.0,0.0,189917.0,114563.0,0.0,0.0,7636.0
1691306215.108218,0.0,0.0,0.0,0.0,189902.0,114549.0,0.0,0.0,7633.0
1691306215.1206,0.0,0.0,-19060.0,0.0,0.0,0.0,0.0,2.472506,0.0
1691306215.148114,0.0,0.0,0.0,0.0,189900.0,114543.0,0.0,0.0,7637.0
1691306215.181475,0.0,0.0,0.0,0.0,0.0,0.0,39.494,0.0,0.0
1691306215.188009,0.0,0.0,0.0,0.0,189937.0,114562.0,0.0,0.0,7642.0
1691306215.188697,0.0,0.0,-19061.599609,0.0,0.0,0.0,0.0,2.479538,0.0
1691306215.193856,36.918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691306215.227905,0.0,720.0,0.0,96.0,189952.0,114556.0,0.0,0.0,7653.0
1691306215.254731,0.0,0.0,-19062.0,0.0,0.0,0.0,0.0,2.481303,0.0
1691306215.268144,0.0,0.0,0.0,0.0,189966.0,114558.0,0.0,0.0,7656.0
1691306215.308383,0.0,0.0,0.0,0.0,189993.0,114562.0,0.0,0.0,7687.0
1691306215.313542,0.0,0.0,0.0,0.0,0.0,0.0,39.497,0.0,0.0
1691306215.320765,0.0,0.0,-19061.599609,0.0,0.0,0.0,0.0,2.479538,0.0
1691306215.327987,36.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691306215.347935,0.0,0.0,0.0,0.0,190003.0,114580.0,0.0,0.0,7688.0
1691306215.387486,0.0,0.0,0.0,0.0,190032.0,114581.0,0.0,0.0,7701.0
1691306215.38783,0.0,0.0,-19061.599609,0.0,0.0,0.0,0.0,2.479538,0.0
1691306215.427038,0.0,0.0,0.0,0.0,190054.0,114584.0,0.0,0.0,7721.0
1691306215.44561,0.0,0.0,0.0,0.0,0.0,0.0,39.463,0.0,0.0
1691306215.453348,0.0,0.0,-19062.800781,0.0,0.0,0.0,0.0,2.484849,0.0
1691306215.460055,36.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691306215.466589,0.0,0.0,0.0,0.0,190048.0,114577.0,0.0,0.0,7716.0
1691306215.506141,0.0,0.0,0.0,0.0,189959.0,114562.0,0.0,0.0,7680.0
1691306215.518866,0.0,0.0,-19062.199219,0.0,0.0,0.0,0.0,2.482184,0.0
1691306215.545692,0.0,0.0,0.0,0.0,189895.0,114547.0,0.0,0.0,7645.0
1691306215.579741,0.0,0.0,0.0,0.0,0.0,0.0,39.484,0.0,0.0
1691306215.585416,0.0,0.0,-19063.0,0.0,189882.0,114535.0,0.0,2.485732,7630.0
1691306215.592122,36.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691306215.625139,0.0,0.0,0.0,0.0,189882.0,114550.0,0.0,0.0,7618.0
1691306215.651966,0.0,0.0,-19061.599609,0.0,0.0,0.0,0.0,2.479538,0.0
1691306215.665035,0.0,0.0,0.0,0.0,189882.0,114536.0,0.0,0.0,7623.0
1691306215.70493,0.0,0.0,0.0,0.0,189909.0,114553.0,0.0,0.0,7634.0
1691306215.711809,0.0,0.0,0.0,0.0,0.0,0.0,39.387,0.0,0.0
1691306215.717999,0.0,0.0,-19061.599609,0.0,0.0,0.0,0.0,2.479538,0.0
1691306215.725222,36.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691306215.744826,0.0,0.0,0.0,0.0,189904.0,114543.0,0.0,0.0,7631.0
1691306215.784549,0.0,0.0,-19062.0,0.0,0.0,0.0,0.0,2.481303,0.0
1691306215.785065,0.0,0.0,0.0,0.0,189889.0,114533.0,0.0,0.0,7632.0
1691306215.825304,0.0,0.0,0.0,0.0,189899.0,114541.0,0.0,0.0,7636.0
1691306215.844908,0.0,0.0,0.0,0.0,0.0,0.0,39.38,0.0,0.0
1691306215.851099,0.0,0.0,-19060.599609,0.0,0.0,0.0,0.0,2.475137,0.0
1691306215.858321,36.932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1691306215.8652,0.0,0.0,0.0,0.0,189915.0,114546.0,0.0,0.0,7651.0
1691306215.905095,0.0,0.0,0.0,0.0,189929.0,114548.0,0.0,0.0,7644.0
1691306215.917133,0.0,0.0,-19061.0,0.0,0.0,0.0,0.0,2.476897,0.0
1691306215.944991,0.0,720.0,0.0,93.0,189946.0,114555.0,0.0,0.0,7663.0
